| Contract                           | Size (B) | Margin (B) |
|------------------------------------|----------|------------|
| Address                            |       86 |     24,490 |
| AddressStringUtil                  |       86 |     24,490 |
| AuthorizationLib                   |       86 |     24,490 |
| Base64                             |       86 |     24,490 |
| BeaconProxy                        |      759 |     23,817 |
| BitMath                            |       86 |     24,490 |
| BytesLib                           |       86 |     24,490 |
| CallbackValidation                 |       86 |     24,490 |
| ChainId                            |       86 |     24,490 |
| Create2                            |       86 |     24,490 |
| ERC20                              |    2,546 |     22,030 |
| ERC20Mock                          |    3,518 |     21,058 |
| ERC721                             |    6,557 |     18,019 |
| EnumerableMap                      |       86 |     24,490 |
| EnumerableSet                      |       86 |     24,490 |
| FixedPoint128                      |       86 |     24,490 |
| FixedPoint96                       |       86 |     24,490 |
| FullMath                           |       86 |     24,490 |
| HexStrings                         |       86 |     24,490 |
| KatanaGovernanceMock               |    2,388 |     22,188 |
| KatanaInterfaceMulticall           |    1,295 |     23,281 |
| KatanaV2Library                    |       86 |     24,490 |
| KatanaV2LibraryTestnet             |       86 |     24,490 |
| KatanaV3Factory                    |    4,132 |     20,444 |
| KatanaV3Pool                       |   21,545 |      3,031 |
| KatanaV3PoolBeacon                 |    4,246 |     20,330 |
| KatanaV3PoolProxy                  |    1,209 |     23,367 |
| LiquidityAmounts                   |       86 |     24,490 |
| LiquidityMath                      |       86 |     24,490 |
| LowGasSafeMath                     |       86 |     24,490 |
| MixedRouteQuoterV1                 |    7,384 |     17,192 |
| MixedRouteQuoterV1Testnet          |    7,384 |     17,192 |
| NFTDescriptor                      |   23,372 |      1,204 |
| NFTSVG                             |       86 |     24,490 |
| NonfungiblePositionManager         |   24,284 |        292 |
| NonfungibleTokenPositionDescriptor |    5,097 |     19,479 |
| Oracle                             |       86 |     24,490 |
| OracleLibrary                      |       86 |     24,490 |
| PairFlash                          |    5,592 |     18,984 |
| Path                               |       86 |     24,490 |
| PoolAddress                        |       86 |     24,490 |
| PoolTicksCounter                   |       86 |     24,490 |
| Position                           |       86 |     24,490 |
| PositionKey                        |       86 |     24,490 |
| PositionValue                      |       86 |     24,490 |
| Quoter                             |    3,986 |     20,590 |
| QuoterV2                           |    7,183 |     17,393 |
| SafeCast                           |       86 |     24,490 |
| SafeERC20Namer                     |       86 |     24,490 |
| SafeMath                           |       86 |     24,490 |
| SignedSafeMath                     |       86 |     24,490 |
| SqrtPriceMath                      |       86 |     24,490 |
| SqrtPriceMathPartial               |       86 |     24,490 |
| Strings                            |       86 |     24,490 |
| SwapMath                           |       86 |     24,490 |
| SwapRouter                         |   10,109 |     14,467 |
| Tick                               |       86 |     24,490 |
| TickBitmap                         |       86 |     24,490 |
| TickLens                           |    1,322 |     23,254 |
| TickMath                           |       86 |     24,490 |
| TokenRatioSortOrder                |       86 |     24,490 |
| TransferHelper                     |       86 |     24,490 |
| TransparentUpgradeableProxy        |    2,091 |     22,485 |
| UnsafeMath                         |       86 |     24,490 |
| UpgradeableBeacon                  |    1,153 |     23,423 |
| UpgradeableProxy                   |      738 |     23,838 |
| V3Migrator                         |    6,529 |     18,047 |

